article,type
https://www.dailymail.co.uk/femail/article-6087587/Paranormal-UK-spends-three-nights-Britains-haunted-prison-ghost-hunting.html,female
https://www.dailymail.co.uk/femail/article-6090051/Normal-childhood-worries-serious.html,female
https://www.dailymail.co.uk/femail/article-6091435/From-sleep-treatments-dose-magnesium-eight-steps-stressing-life.html,female
https://www.dailymail.co.uk/femail/article-6105543/Meghan-Markles-screen-dad-Wendell-Pierce-told-call-fishbowl-starts-getting-you.html,female
https://www.dailymail.co.uk/femail/article-6107653/How-tell-holiday-fling-REAL-thing.html,female
https://www.dailymail.co.uk/femail/article-6107719/Starbucks-launches-Pumpkin-Spice-Latte-August-28-2018.html,female
https://www.dailymail.co.uk/femail/article-6109787/Celebrity-clients-clinic-British-woman-underwent-fatal-surgery.html,female
https://www.dailymail.co.uk/femail/article-6111127/Wellness-guru-reveals-shes-launched-Glow-Bar-set-1m-turnover.html,female
https://www.dailymail.co.uk/femail/article-6112535/How-rescue-holiday-ravaged-hair-home.html,female
https://www.dailymail.co.uk/femail/article-6113647/Good-Morning-Britain-viewers-left-stitches-Joe-Swash-Alex-Beresford-don-crop-tops.html,female
https://www.dailymail.co.uk/femail/article-6114339/Woman-reveals-like-DIE-flat-lined-brain-surgery.html,female
https://www.dailymail.co.uk/femail/article-6114631/German-woman-works-sexual-assistant-elderly-disabled.html,female
https://www.dailymail.co.uk/femail/article-6115057/Daniel-Price-founder-Years-talks-losing-father-13inspired-him.html,female
https://www.dailymail.co.uk/femail/article-6115283/Viewers-heartbreak-Victoria-Pendleton-moment-forced-abandon-Mount-Everest-climb.html,female
https://www.dailymail.co.uk/femail/article-6115973/Serena-Williams-daughter-Alexis-Olympia-wears-tutu-dress-just-like-mom.html,female
https://www.dailymail.co.uk/femail/article-6117673/Woman-29-earned-53-000-going-dates-strangers.html,female
https://www.dailymail.co.uk/femail/article-6117761/Proof-Jessica-Mulroney-chose-mini-dress-Meghan.html,female
https://www.dailymail.co.uk/femail/article-6117871/Dont-Tell-Bride-groom-wearing-ring-wedding.html,female
https://www.dailymail.co.uk/femail/article-6117945/Swedish-palace-releases-two-new-portraits-Prince-Gabriel-birthday.html,female
https://www.dailymail.co.uk/femail/article-6118253/Parents-baby-terminal-cancer-bring-wedding-forward.html,female
https://www.dailymail.co.uk/femail/article-6118365/Hundreds-social-media-share-frustrating-things-name.html,female
https://www.dailymail.co.uk/femail/article-6118581/Pregnant-Pippa-Middleton-looks-chic-enjoys-cycle-ride-London.html,female
https://www.dailymail.co.uk/femail/article-6118603/Several-women-reveal-passionate-kissing-gone-relationship.html,female
https://www.dailymail.co.uk/femail/article-6118853/Mother-welcomed-twins-three-years-ago-expecting-two-babies-AGAIN.html,female
https://www.dailymail.co.uk/femail/article-6118877/Balenciaga-gets-inspiration-Joey-Tribiani-Friends-9-000-coat.html,female
https://www.dailymail.co.uk/femail/article-6119251/Women-copying-Kylie-Jenner-dissolving-lip-fillers.html,female
https://www.dailymail.co.uk/femail/article-6119319/11-year-old-boy-goes-viral-flawlessly-lip-syncing-Telephone.html,female
https://www.dailymail.co.uk/femail/article-6119425/Ivanka-Trump-keeps-camera-way-work.html,female
https://www.dailymail.co.uk/femail/article-6124267/Where-budget-version-seasons-hottest-fashion-trend-powder-blue-tote-bags.html,female
https://www.dailymail.co.uk/femail/article-6124959/Is-just-suffering-TV-tyranny-asks-LAURA-FREEMAN.html,female
https://www.dailymail.co.uk/femail/article-6126851/New-look-like-dog-game-encourages-users-team-people-matching-pooch.html,female
https://www.dailymail.co.uk/femail/article-6129259/Couple-tie-knot-Viking-wedding-nearly-1-000-years.html,female
https://www.dailymail.co.uk/femail/article-6129363/Modern-women-taste-1960s-factory-life.html,female
https://www.dailymail.co.uk/femail/article-6129433/Pioneering-software-reveals-Kate-Harry-Meghan-look-like-60s.html,female
https://www.dailymail.co.uk/femail/article-6129683/Mind-boggling-puzzle-challenges-changed-near-identical-drawings.html,female
https://www.dailymail.co.uk/femail/article-6130261/Undercover-Girlfriends-viewers-left-gobsmacked-contestants-revealing-swimsuit.html,female
https://www.dailymail.co.uk/femail/article-6130805/Brand-unveils-65-copy-Kates-popular-dress.html,female
https://www.dailymail.co.uk/femail/article-6131979/90-Michael-Kors-ballet-pumps-crowned-UKs-favourite-shoe.html,female
https://www.dailymail.co.uk/femail/article-6133515/French-influencer-ties-knot-stylish-wedding.html,female
https://www.dailymail.co.uk/femail/article-6133895/Swedish-glamour-model-defends-dream-having-worlds-biggest-bottom.html,female
https://www.dailymail.co.uk/femail/article-6134145/Queen-Letizia-Spain-King-Felipe-come-face-face-bull-agriculture-fair.html,female
https://www.dailymail.co.uk/femail/article-6134501/Mother-mistakenly-believes-mortified-son-STI-stye.html,female
https://www.dailymail.co.uk/femail/article-6134719/Security-expert-warns-parents-NOT-posting-childrens-school-pictures.html,female
https://www.dailymail.co.uk/femail/article-6138303/Bark-com-launches-ADULTING-courses-millennials.html,female
https://www.dailymail.co.uk/femail/article-6138505/Princess-Margaret-wasnt-educated-Queen.html,female
https://www.dailymail.co.uk/femail/article-6139059/Holly-Willoughby-swaps-high-street-wardrobe-high-end.html,female
https://www.dailymail.co.uk/femail/article-6142669/Fans-Forties-attend-Goodwood-Revival-festival.html,female
https://www.dailymail.co.uk/femail/article-6142713/Kent-mother-baby-boy-born-astonishing-black-locks-reveals-NO-plans-cut-it.html,female
https://www.dailymail.co.uk/femail/article-6142763/Prince-Carl-Philip-Princess-Sofia-Sweden-reunited-runaway-dog.html,female
https://www.dailymail.co.uk/femail/article-6142875/Etiquette-expert-William-Hanson-reveals-lady-tramp-school-run.html,female
https://www.dailymail.co.uk/femail/article-6143223/Mia-Tindall-joins-Zara-sister-Lena-horse-trials-Gloucestershire.html,female
https://www.dailymail.co.uk/femail/article-6148003/Student-feeling-run-discovers-pregnant.html,female
https://www.dailymail.co.uk/femail/article-6148067/Meghan-Markles-dog-Guy-beagle-written-book.html,female
https://www.dailymail.co.uk/femail/article-6148113/Her-Majesty-joined-Theresa-Crathie-Kirk-Church.html,female
https://www.dailymail.co.uk/femail/article-6148551/Steph-Dom-solve-sex-love-life-troubles.html,female
https://www.dailymail.co.uk/femail/article-6148603/How-dress-like-grown-Sarah-Bailey.html,female
https://www.dailymail.co.uk/femail/article-6148625/The-one-lesson-Ive-learned-life-Heather-Watson-says-never-afraid-say-no.html,female
https://www.dailymail.co.uk/femail/article-6148933/Food-writer-SARAH-RAINEY-asks-really-make-tasty-cake-kale.html,female
https://www.dailymail.co.uk/femail/article-6149013/No-gym-required-athleisure-trend-say-heres-smash-look.html,female
